SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.2050, 49, 0.02643063, -0.23621894, -0.96925330, -0.13726580, -0.14633860, 0.04700916, -15.68899059, 3.80694604, -46.09586716, 13.27590275, 1.81075799, 27.75396729, -0.96462268, 0.10844286, 0.04295779, 0.23642726, 0.00243524, 0.00107844, -0.00226337, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2075, 50, 0.02693463, -0.23620805, -0.97046149, -0.13375305, -0.14411850, -0.16344078, -15.68899059, 3.80694604, -46.09586716, 13.27584267, 1.81008863, 27.75253487, -0.96462560, 0.10844428, 0.04295067, 0.23641588, 0.00191615, 0.00106150, -0.00105725, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2100, 51, 0.02790992, -0.23523092, -0.97068202, -0.13609488, -0.14559856, -0.02314082, -15.68899059, 3.80694604, -46.09586716, 13.27559185, 1.80946565, 27.75119019, -0.96462852, 0.10844399, 0.04294365, 0.23640530, 0.00092938, 0.00008728, -0.00084650, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2125, 52, 0.02900309, -0.23596187, -0.97018522, -0.06431042, -0.07523812, -0.09210479, -15.68899059, 3.80694604, -46.09586716, 13.27587509, 1.80940461, 27.74956894, -0.96463162, 0.10844710, 0.04294218, 0.23639160, -0.00016345, 0.00081627, -0.00134104, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2150, 53, 0.02692164, -0.23816544, -0.96901858, 0.00430579, -0.07639124, 0.04894236, -15.86367893, 3.74700141, -46.72553635, 13.27843571, 1.80780149, 27.74805260, -0.96463215, 0.10847259, 0.04293255, 0.23637950, 0.00189325, 0.00298289, -0.00247954, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2425, 54, 0.02842256, -0.23728636, -0.97202843, -0.20574455, 0.06343491, -0.16287144, -15.19403839, 3.38731742, -46.35345840, 13.28168201, 1.80583215, 27.72672272, -0.96467286, 0.10851203, 0.04290249, 0.23620073, 0.00034953, 0.00203101, 0.00053292, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2450, 55, 0.02840086, -0.23571524, -0.97080022, -0.20540008, -0.00585854, -0.16331027, -15.19403839, 3.38731742, -46.35345840, 13.28131771, 1.80581939, 27.72457314, -0.96467769, 0.10850980, 0.04289959, 0.23618278, 0.00037450, 0.00047319, -0.00070581, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2475, 56, 0.02840086, -0.23571524, -0.97080022, -0.20540008, -0.00585854, -0.16331027, -15.19403839, 3.38731742, -46.35345840, 13.28095722, 1.80580723, 27.72242928, -0.96468240, 0.10850760, 0.04289672, 0.23616488, 0.00037427, 0.00047931, -0.00070727, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2500, 57, 0.02937001, -0.23437622, -0.97065318, 0.01016038, -0.07269108, -0.30180758, -15.19403839, 3.38731742, -46.35345840, 13.28079796, 1.80596876, 27.71993065, -0.96468771, 0.10850684, 0.04289538, 0.23614374, -0.00059163, -0.00085608, -0.00086530, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2525, 58, 0.02937001, -0.23437622, -0.97065318, 0.01016038, -0.07269108, -0.30180758, -15.42695904, 4.10668135, -46.43932724, 13.28063965, 1.80612910, 27.71755791, -0.96469271, 0.10850605, 0.04289415, 0.23612365, -0.00058881, -0.00085339, -0.00086594, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2550, 59, 0.02743292, -0.23644425, -0.97118539, 0.00816303, -0.14346461, -0.16194643, -15.42695904, 4.10668135, -46.43932724, 13.28104210, 1.80545926, 27.71550941, -0.96469653, 0.10851161, 0.04288741, 0.23610693, 0.00133506, 0.00120466, -0.00031501, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2575, 60, 0.02743292, -0.23644425, -0.97118539, 0.00816303, -0.14346461, -0.16194643, -15.42695904, 4.10668135, -46.43932724, 13.28143883, 1.80479419, 27.71354866, -0.96470010, 0.10851708, 0.04288078, 0.23609096, 0.00132344, 0.00119780, -0.00031383, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2600, 61, 0.02766858, -0.23644854, -0.97057396, 0.00933395, -0.14272457, -0.23209645, -15.42695904, 4.10668135, -46.43932724, 13.28179646, 1.80430818, 27.71164131, -0.96470368, 0.10852183, 0.04287562, 0.23607527, 0.00108105, 0.00119948, -0.00092469, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2625, 62, 0.02730565, -0.23535107, -0.97105682, 0.08077396, -0.00307070, -0.30062157, -15.42695904, 4.10668135, -46.43932724, 13.28203869, 1.80412161, 27.70970726, -0.96470737, 0.10852496, 0.04287272, 0.23605908, 0.00143935, 0.00009513, -0.00044637, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2650, 63, 0.02864839, -0.23632172, -0.97092301, 0.01016038, -0.07269108, -0.30180758, -14.93200684, 3.92683959, -47.12623978, 13.28233242, 1.80409265, 27.70789719, -0.96471083, 0.10852819, 0.04287137, 0.23604377, 0.00009648, 0.00106152, -0.00057707, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2675, 64, 0.02875600, -0.23596440, -0.96994579, 0.00898947, -0.07343111, -0.23165761, -14.93200684, 3.92683959, -47.12623978, 13.28265762, 1.80405653, 27.70634842, -0.96471369, 0.10853158, 0.04287026, 0.23603061, -0.00000898, 0.00070433, -0.00155548, 0.00000000, 0.00000000, 0.00000000, 0.00000000
